Node1 | Node2 | Node3 | Node4 : ---- | ---- | 30.0 | 46.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 56.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 43.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 45.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 49.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 51.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 56.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 49.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 49.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 54.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 50.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 44.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 38.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 35.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 35.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 37.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 38.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 37.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 44.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 42.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 37.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 49.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 52.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 44.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 44.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 48.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 47.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 46.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 41.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 42.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 52.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 54.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 49.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 50.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 47.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 45.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 56.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 56.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 49.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 51.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 46.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 47.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 53.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 52.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 49.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 43.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 47.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 49.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 50.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 52.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 48.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 45.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 53.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 42.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 46.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 47.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 47.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 41.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 44.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 39.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 47.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 52.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 44.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 43.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 48.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 48.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 55.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 49.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 51.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 47.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 50.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 53.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 49.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 45.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 48.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 54.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 48.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 45.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 51.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 48.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 39.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 43.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 44.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 41.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 48.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 39.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 46.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 48.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 48.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 47.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 42.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 43.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 48.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 47.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 43.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 46.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 42.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 46.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 50.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 49.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 46.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 53.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 42.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 49.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 43.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 43.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 49.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 52.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 44.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 52.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 44.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 45.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 48.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 52.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 48.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 39.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 51.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 54.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 51.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 52.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 49.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 45.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 56.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 49.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 39.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 51.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 42.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 43.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 49.0  (cm)
Node1 | Node2 | Node3 | Node4 : ---- | ---- | ---- | 48.0  (cm)
